Group,Label,Feature Description,How to Measure with Calipers,Priority,Est. Range (mm),Measured Value (mm),Engineering Notes
Panel E: Outlet Box Housing,[GAP],Seated Gap,Distance between front face of connector and outlet housing when seated,Critical,4.0 - 6.0,4.7,Front connector clearance
Panel F: Outer Housing Bezel,[H1],Total Outer Width,Widest horizontal span across outer housing edges,Critical,140 - 180,142.3,Confirmed caliper
Panel F: Outer Housing Bezel,[H2],Total Outer Height,Bottom of lower chin to top outer rim face,Critical,90 - 100,95.4,Confirmed caliper
Panel F: Outer Housing Bezel,[H3],Window Aperture Width,Inside horizontal opening where AC outlet sits,Critical,112 - 125,114.6,Confirmed caliper (>111.75mm outlet box)
Panel F: Outer Housing Bezel,[H4],Window Aperture Height,Inside vertical height of rectangular opening,Critical,48 - 58,50.2,Confirmed caliper
Panel F: Outer Housing Bezel,[H5],Lower Chin Height,Vertical thickness of protruding bottom bar,Recommended,25 - 32,30.77,Confirmed caliper
Panel F: Outer Housing Bezel,[H5b],Chin Total Thickness,Front-to-back depth of chin including molded ribs in back,Critical,6.0 - 8.5,7.1,Confirmed caliper (user refined)
Panel F: Outer Housing Bezel,[H6],Top Bezel Frame Thickness,Distance from top outer rim to top of window aperture,Recommended,8 - 14,11.2,Calculated from 95.40 - 84.20
Panel F: Outer Housing Bezel,[H7a],Side Wall Depth,Front bezel face straight back to rear plastic edge of side wing,Critical,55 - 65,58.8,Confirmed caliper
Panel F: Outer Housing Bezel,[H9],Top Shelf Flat Length,Length of horizontal top section before angled drop,Recommended,30 - 40,34.0,Confirmed caliper
Panel F: Outer Housing Bezel,[H10],Aluminum Rear Extension,Distance silver sheet metal clip extends backwards,Recommended,45 - 55,53.0,Confirmed caliper
Panel F: Outer Housing Bezel,[H11],Inner Wing Clear Span,Clear inside width between left and right side walls,Critical,135 - 145,140.5,Confirmed caliper
Panel F: Outer Housing Bezel,[H11b],Wing to Aluminum Space,Horizontal clearance between plastic wing and horizontal aluminum plate,Critical,9.0 - 11.5,10.15,Confirmed caliper (user refined)
Panel F: Outer Housing Bezel,[H12],Aluminum Bracket Width,Width of horizontal stamped sheet metal frame,Critical,118 - 125,120.2,140.50 - 2x10.15 = 120.20mm
Panel F: Outer Housing Bezel,[H13],Side Wall Thickness,Plastic wall thickness of the side wings,Recommended,2.0 - 3.0,2.6,Confirmed caliper
Panel F: Outer Housing Bezel,[H14],Window Recess Step Depth,Depth of internal ledge where outlet face seats,Recommended,2.5 - 4.0,3.0,Confirmed caliper
Panel F: Outer Housing Bezel,[H15a],Aluminum Outer Hole Offset,Distance from side of aluminum to outer edge of horizontal oval slot,Critical,14 - 18,16.75,Confirmed caliper
Panel F: Outer Housing Bezel,[H15b],Aluminum Outer Oval Width (X),Width of horizontal oval slot along X (rotated 90 deg),Critical,6.5 - 8.5,7.45,Confirmed caliper (horizontal slot)
Panel F: Outer Housing Bezel,[H15c],Aluminum Holes Edge Spacing,Distance from inner edge of oval slot to outer edge of central hole,Critical,35 - 40,37.95,Confirmed caliper
Panel F: Outer Housing Bezel,[H15d],Aluminum Central Hole Diameter,Diameter of central circular round hole through aluminum floor,Critical,5.5 - 7.5,6.45,Confirmed caliper
Panel F: Outer Housing Bezel,[H15e],Aluminum Holes Center Spacing,Center-to-center distance between the two holes,Critical,40 - 50,44.9,Calculated center-to-center
Panel F: Outer Housing Bezel,[H15f],Central Hole Back Edge Dist,Distance from back edge of aluminum to central hole,Critical,6.0 - 9.0,7.6,Confirmed caliper (7.6mm to back edge)
Panel F: Outer Housing Bezel,[H15g],Outer Oval Back Edge Dist,Distance from back edge of aluminum to outer horizontal oval slot,Critical,6.0 - 9.0,7.3,Confirmed caliper (7.3mm to back edge)
Panel F: Outer Housing Bezel,[H16a],50mm Triangle Chord Distance,Distance between 50mm marks on traced angle legs,Critical,64 - 70,67.0,Confirmed caliper (chord C=67mm)
Panel F: Outer Housing Bezel,[H16b],Internal Bend Angle,Calibrated internal bend angle of aluminum plate,Critical,82 - 86,84.13,2 * arcsin(67/100) = 84.13 deg
Panel F: Outer Housing Bezel,[H16c],Upward Pitch Angle,Upward tilt angle of aluminum plate toward ceiling,Critical,4.0 - 8.0,5.87,90.0 - 84.13 = 5.87 deg pitch
Panel F: Outer Housing Bezel,[H16d],Wing Bottom Termination,Vertical height where side wings terminate (aligned with window),Critical,32 - 36,34.0,Aligned with window bottom
Panel F: Outer Housing Bezel,[H16f],Chin Below Aluminum Plate,Vertical distance chin extends down below aluminum plate,Critical,25 - 29,27.1,Confirmed caliper (chin extends 27.1mm)
Panel F: Outer Housing Bezel,[H16g],Plate Below Window Aperture,Vertical distance aluminum plate is below window opening,Critical,6.0 - 8.0,6.9,Confirmed caliper (plate 6.9mm below window)
Panel F: Outer Housing Bezel,[H17a],Back of Box to Back of Plate,Horizontal distance from back of aluminum plate forward to back wall of outlet box,Critical,15 - 18,16.79,Leaves 16.79mm of rear plate clear so chassis bolt holes are completely uncovered
Panel F: Outer Housing Bezel,[H17b],Box Vertical Gap off Plate,Vertical clearance between bottom surface of outlet box and near horizontal aluminum plate,Critical,8 - 10,9.1,Bottom of box sits ~9.1mm above aluminum plate (2.2mm above window bottom sill)
